@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
2.840419,0.842956,0.242632,0.362516,19.084002,31.978920,84.513947,189.873459,190.528625,181.727066,0.678783,c1
1.927743,0.276808,0.559683,0.647067,17.714857,28.993044,88.183136,299.416229,192.343628,65.386787,1.351823,c1
2.096749,0.460747,0.498976,0.689498,11.437104,50.262871,100.663521,215.112793,132.203644,53.733566,1.336902,c1
2.274707,0.641468,0.559658,0.830713,19.653023,94.185791,184.185928,354.861816,68.528755,21.313040,2.929168,c1
2.059394,0.333904,0.603662,0.706027,15.620554,74.679352,158.731186,234.140320,87.099510,56.980862,1.795904,c1
2.322664,0.651742,0.473959,0.760423,20.618378,90.611206,146.265289,229.335785,98.349274,36.376053,1.666845,c1
2.061210,0.308607,0.586462,0.734432,19.175856,70.265884,141.111084,289.040741,100.775658,46.535263,1.977011,c1
2.626366,0.719936,0.381638,0.685977,17.690529,44.067780,127.643906,256.847748,149.468018,65.068283,1.486797,c1
2.295199,0.495322,0.194117,0.675234,19.005705,86.619179,145.962036,242.478119,117.300690,65.819443,1.440058,c1
2.202189,0.381883,0.506020,0.780840,17.075340,99.308052,204.241043,262.032776,74.046120,36.343555,2.223552,c1
2.387098,0.620569,0.487510,0.628062,17.900139,47.631004,120.890778,218.211166,189.929184,61.169884,1.135145,c1
1.694989,0.456177,0.467501,0.555845,13.379127,67.480148,102.793732,276.052368,117.232162,121.021667,1.239136,c1
2.172971,0.493078,0.462624,0.733028,16.608814,76.923218,156.920120,278.360138,87.570274,54.307896,1.989385,c1
1.772562,0.083937,0.619898,0.648655,15.754179,79.387489,114.082214,265.579926,142.329636,75.339287,1.278081,c1
2.441082,0.685851,0.187602,0.735661,15.541841,51.587589,169.527267,231.531662,191.992783,34.507603,1.442202,c1
2.717884,0.789585,0.275615,0.513201,12.173018,64.318214,135.740616,214.597900,128.312698,138.130386,1.059188,c1
2.687876,0.862980,0.309696,0.739914,20.128109,51.119019,148.625854,349.191223,65.158646,48.978077,3.012404,c1
1.965149,0.240529,0.568204,0.463548,13.872708,79.373207,152.467422,154.770905,121.257317,145.895844,0.886623,c1
2.202962,0.263745,0.468668,0.714736,19.962923,119.638359,203.857056,185.515701,72.016052,73.950455,1.465985,c1
2.148098,0.574687,0.590275,0.660134,16.077145,135.556595,192.485382,163.569214,87.268005,84.675072,1.157902,c1
1.944225,0.172472,0.426242,0.378845,13.795594,41.762383,76.889145,202.883774,204.222382,127.038124,0.750015,c1
2.183213,0.016789,0.280577,0.580104,20.712870,83.027435,130.049515,134.039948,137.612625,102.817329,0.816458,c1
2.129118,0.234774,0.529929,0.709761,20.907001,70.652817,167.528732,252.415878,89.593712,60.329250,1.903856,c1
2.067839,0.049839,0.419331,0.270569,16.299374,87.294609,117.958771,113.137321,79.340973,222.514069,0.593849,c1
2.644448,0.823745,0.419667,0.515687,15.012851,71.693611,132.789322,135.285095,89.362869,150.462814,0.860539,c1
2.160026,0.350406,0.503980,0.393419,18.189156,71.179764,137.582642,148.815125,70.135796,184.016418,0.880325,c1
2.807023,0.856861,0.110150,0.841794,13.550107,165.913620,272.513611,174.630981,43.126236,28.838568,1.879719,c1
2.248926,0.517342,0.441596,0.568205,21.030991,87.581116,141.761551,157.430710,152.104080,106.562469,0.864099,c1
